Symptom,Herbal_Remedies
asthma,"nutmeg, shankhpushpi"
itchy eyes,"basil, rock salt, kesar, ashwagandha"
skin rash,"fenugreek, basil, jatamansi"
lack of focus,"tulsi, kesar, triphala"
dry eyes,"haritaki, manjistha, amla"
hernia,"kesar, nutmeg, fenugreek"
sciatica,"basil, yastimadhu, onion extract"
mouth ulcers,"amla, bhringraj, mulethi"
acidity,"castor oil, brahmi, tulsi"
hepatitis,"cardamom, coriander, daruharidra, buttermilk"
weak bones,"shankhpushpi, kesar"
heat intolerance,"triphala, clove"
hypopigmentation,"gotu kola, cinnamon, neem"
sensitivity to cold,"cardamom, manjistha, jatamansi, mint"
irritability,"guggulu, buttermilk, ginger"
dark circles,"shatavari, triphala, kesar, bhringraj"
underweight,"sandalwood oil, daruharidra, gokshura"
diabetes,"black pepper, ajwain, kesar, ashwagandha"
hepatitis,"nutmeg, clove"
sweaty palms,"ashwagandha, turmeric, arjuna bark, kesar"
hot flashes,"lemongrass, gotu kola, ginger, ashwagandha"
tinnitus,"triphala, kulthi"
stomach cramps,"onion extract, neem, vidarikanda"
hearing loss,"fenugreek, buttermilk, ghee, jatamansi"
itchy eyes,"manjistha, cinnamon, triphala"
sleep apnea,"castor oil, lemongrass"
bedwetting,"ghee, haritaki"
acne,"brahmi, mulethi"
itchy eyes,"basil, castor oil"
dark circles,"garlic, cardamom"
cold feet,"kesar, fenugreek, clove"
panic attacks,"cinnamon, onion extract"
joint pain,"gotu kola, manjistha, sandalwood oil, neem"
indigestion,"til oil, buttermilk, garlic"
nausea,"pippali, arjuna bark"
skin rash,"neem, gokshura"
hearing loss,"manjistha, ajwain"
hyperpigmentation,"brahmi, daruharidra"
low libido,"daruharidra, jatamansi"
joint pain,"ashwagandha, garlic"
early menopause,"camphor, arjuna bark, shankhpushpi"
skin rash,"tulsi, gokshura, rock salt"
enlarged liver,"garlic, camphor, haritaki, triphala"
obesity,"shatavari, basil"
itchy eyes,"licorice root, jatamansi, pippali, guggulu"
sciatica,"ajwain, sandalwood oil, nutmeg, brahmi"
lack of focus,"til oil, tulsi, cardamom"
cold,"bhumi amla, daruharidra, kesar, basil"
dry eyes,"manjistha, neem"
cold,"triphala, neem, guggulu, sandalwood oil"
excessive hunger,"punarnava, nutmeg, tulsi"
infertility,"ashwagandha, punarnava"
fracture pain,"basil, nutmeg"
sciatica,"castor oil, honey, haritaki, basil"
dry cough,"clove, triphala"
enlarged liver,"onion extract, gokshura, basil"
sleep apnea,"triphala, arjuna bark, nutmeg, aloe vera"
stress,"tulsi, buttermilk, til oil"
sweaty palms,"bhumi amla, kesar"
ear pain,"rock salt, fenugreek, guggulu, aloe vera"
joint pain,"jatamansi, punarnava"
migraine,"ashwagandha, daruharidra, turmeric"
diabetes,"buttermilk, onion extract"
watery eyes,"daruharidra, haritaki"
migraine,"ghee, licorice root, jatamansi"
dry cough,"jatamansi, bhumi amla"
sleep apnea,"fennel, lemongrass"
depression,"mint, haritaki, tulsi"
depression,"punarnava, ghee, haritaki, mint"
neck pain,"lemongrass, arjuna bark, kesar, aloe vera"
throat infection,"ginger, licorice root, clove, turmeric"
palpitations,"buttermilk, onion extract, shankhpushpi"
dry skin,"basil, manjistha"
low appetite,"licorice root, bhumi amla, brahmi"
blurred vision,"sandalwood oil, ginger, castor oil"
flu,"gokshura, daruharidra, aloe vera, pippali"
ear discharge,"aloe vera, honey, manjistha"
indigestion,"brahmi, haritaki, ginger, cardamom"
cold sores,"ajwain, lemongrass, brahmi"
stomach cramps,"kesar, castor oil"
foot pain,"basil, cardamom"
sensitivity to cold,"aloe vera, bhringraj, ginger, ajwain"
lack of focus,"basil, tulsi, mint, castor oil"
fluid retention,"fennel, cardamom"
motion sickness,"tulsi, turmeric, jatamansi"
morning sickness,"aloe vera, turmeric"
acidity,"amla, tulsi, neem, clove"
fracture pain,"pippali, bhumi amla, bhringraj"
fracture pain,"mint, honey, castor oil"
sweaty palms,"haritaki, tulsi, ajwain"
muscle pain,"triphala, castor oil, coriander"
hepatitis,"rock salt, buttermilk, mint, yastimadhu"
knee pain,"shankhpushpi, gotu kola"
skin rash,"garlic, gotu kola, clove, shatavari"
gallstone,"arjuna bark, fennel, onion extract"
varicose veins,"castor oil, black pepper, triphala, bhumi amla"
sore throat,"rock salt, aloe vera"
hair fall,"ghee, licorice root, camphor, tulsi"
dark circles,"brahmi, shankhpushpi, yastimadhu"
eczema,"amla, yastimadhu, kesar, onion extract"
dandruff,"fennel, punarnava, camphor, onion extract"
measles,"camphor, neem, mint, pippali"
restlessness,"mulethi, cinnamon, onion extract, kesar"
constipation,"castor oil, fenugreek"
sore throat,"castor oil, black pepper, bhumi amla, mulethi"
mental fog,"ajwain, ashwagandha"
gastritis,"neem, jeera, amla"
irritability,"honey, vidarikanda"
panic attacks,"triphala, kesar, fennel, manjistha"
sinusitis,"bhumi amla, cardamom, camphor"
blurred vision,"camphor, punarnava, aloe vera"
cracked heels,"licorice root, brahmi, haritaki"
eye strain,"coriander, haritaki, black pepper, sandalwood oil"
bloating,"camphor, lemongrass, bhringraj"
infertility,"arjuna bark, ajwain, bhumi amla"
skin rash,"bhumi amla, buttermilk"
whooping cough,"cinnamon, garlic"
sleep apnea,"garlic, brahmi"
bronchitis,"guggulu, castor oil, aloe vera, gokshura"
foot pain,"sandalwood oil, shankhpushpi"
snoring,"nutmeg, arjuna bark, castor oil"
low libido,"coriander, licorice root, ajwain, til oil"
cold,"mulethi, ghee, daruharidra"
blurred vision,"vidarikanda, arjuna bark, cardamom"
dandruff,"triphala, kulthi, gokshura"
fatigue,"coriander, kesar"
bloating,"mint, pippali, haritaki"
vision loss,"cinnamon, bhumi amla, jeera, cardamom"
mouth ulcers,"black pepper, aloe vera, ajwain"
body odor,"daruharidra, fenugreek, tulsi, mint"
lack of focus,"garlic, jatamansi"
toothache,"aloe vera, fenugreek, cinnamon, haritaki"
underweight,"gotu kola, jatamansi, yastimadhu, ajwain"
ear discharge,"ajwain, daruharidra, ginger"
hepatitis,"punarnava, haritaki"
foot pain,"kulthi, bhringraj, nutmeg, kesar"
indigestion,"pippali, ajwain, clove"
acne,"gokshura, jeera, fennel"
kidney stone,"ginger, yastimadhu, clove"
psoriasis,"punarnava, lemongrass, sandalwood oil, garlic"
lack of focus,"til oil, fenugreek, bhringraj, licorice root"
low libido,"shankhpushpi, cinnamon, mulethi, vidarikanda"
gastritis,"triphala, pippali"
sinusitis,"nutmeg, ashwagandha, triphala, arjuna bark"
allergic rhinitis,"jatamansi, ashwagandha"
vomiting,"ginger, gokshura, rock salt"
menstrual cramps,"basil, clove, aloe vera"
fever,"jeera, coriander, yastimadhu, gokshura"
body odor,"sandalwood oil, manjistha, ginger"
chest congestion,"ashwagandha, licorice root, cardamom"
cold feet,"lemongrass, cardamom, mint, jatamansi"
bad breath,"gotu kola, jatamansi, tulsi, til oil"
hyperpigmentation,"clove, kesar, fennel"
joint pain,"kulthi, kesar, brahmi"
motion sickness,"black pepper, mint, yastimadhu"
gastritis,"fennel, amla, garlic"
hair fall,"licorice root, guggulu, shankhpushpi, garlic"
cold feet,"aloe vera, yastimadhu, basil, brahmi"
stress,"jatamansi, bhumi amla, shankhpushpi, daruharidra"
palpitations,"cardamom, coriander"
cold,"manjistha, bhringraj"
watery eyes,"aloe vera, cinnamon"
fracture pain,"onion extract, aloe vera, clove, garlic"
liver issues,"arjuna bark, aloe vera, turmeric"
cold,"brahmi, shatavari, kulthi, honey"
eczema,"fenugreek, yastimadhu, cinnamon"
lack of focus,"gotu kola, black pepper, til oil, ashwagandha"
low immunity,"jatamansi, bhringraj"
cold sores,"turmeric, camphor, jeera, manjistha"
varicose veins,"lemongrass, ghee"
cold,"jatamansi, jeera"
gastritis,"castor oil, kulthi, shatavari, ginger"
varicose veins,"ashwagandha, black pepper"
kidney stone,"guggulu, onion extract, gotu kola, shatavari"
numbness,"manjistha, shatavari, nutmeg"
delayed periods,"ajwain, brahmi, mulethi"
sweaty palms,"gokshura, neem, cinnamon"
appendicitis,"onion extract, mulethi, black pepper, fennel"
watery eyes,"kulthi, honey, turmeric"
snoring,"kulthi, rock salt, licorice root"
hyperpigmentation,"castor oil, ginger"
snoring,"guggulu, garlic, nutmeg, vidarikanda"
low immunity,"triphala, onion extract"
colitis,"camphor, cardamom, yastimadhu"
muscle pain,"ginger, shankhpushpi"
infertility,"ashwagandha, cardamom, basil, mulethi"
acidity,"aloe vera, shatavari"
cold sores,"coriander, vidarikanda, neem, arjuna bark"
cramps,"gotu kola, basil, cardamom"
allergic rhinitis,"guggulu, basil, kulthi"
sweaty palms,"kesar, basil, amla"
weak bones,"amla, ashwagandha"
hearing loss,"neem, buttermilk, rock salt"
cramps,"pippali, castor oil, til oil"
rheumatism,"kulthi, cardamom, ashwagandha, haritaki"
gum bleeding,"fennel, gokshura, kulthi, rock salt"
fracture pain,"manjistha, jatamansi"
insomnia,"fenugreek, aloe vera, honey"
fatigue,"coriander, garlic"
stomach cramps,"ajwain, fenugreek, tulsi, brahmi"
brittle nails,"shatavari, mulethi"
eczema,"cinnamon, nutmeg, punarnava, gokshura"
acne,"ghee, kesar"
