Symptom,Traditional_Remedies
dry skin,"garlic, neem"
delayed periods,"camphor, castor oil, onion extract"
high blood pressure,"vidarikanda, pippali, jeera"
cold sores,"turmeric, ajwain"
dark circles,"nutmeg, coriander, rock salt"
infertility,"mint, kesar, ginger"
shingles,"triphala, black pepper, daruharidra"
numbness,"arjuna bark, ajwain"
restlessness,"castor oil, neem"
delayed periods,"fenugreek, bhumi amla"
fever,"kesar, basil, triphala"
ear pain,"shatavari, fenugreek"
knee pain,"guggulu, garlic"
appendicitis,"til oil, vidarikanda, onion extract"
bronchitis,"garlic, honey, bhumi amla, arjuna bark"
foot pain,"cinnamon, tulsi, basil"
headache,"pippali, guggulu, fenugreek"
neck pain,"jatamansi, cardamom"
varicose veins,"pippali, bhumi amla, buttermilk, garlic"
flu,"shankhpushpi, rock salt"
tongue sores,"mulethi, bhumi amla, daruharidra, coriander"
urinary infection,"kulthi, nutmeg"
greasy skin,"turmeric, brahmi, onion extract"
itchy eyes,"daruharidra, castor oil, nutmeg, onion extract"
laryngitis,"basil, jatamansi, jeera"
stomach cramps,"sandalwood oil, tulsi"
joint pain,"shatavari, vidarikanda, basil, fennel"
body odor,"mint, triphala, shatavari, clove"
body odor,"vidarikanda, sandalwood oil"
indigestion,"tulsi, mulethi"
irritability,"rock salt, buttermilk"
insomnia,"pippali, ashwagandha, ajwain, jatamansi"
appendicitis,"shankhpushpi, cardamom, shatavari, ajwain"
neck pain,"pippali, shatavari, camphor, buttermilk"
chest congestion,"punarnava, black pepper, ginger"
blurred vision,"guggulu, coriander, triphala, ginger"
kidney stone,"ajwain, bhringraj"
memory loss,"triphala, gotu kola"
varicose veins,"shatavari, pippali, aloe vera"
hernia,"ginger, camphor"
dry eyes,"onion extract, ashwagandha"
joint pain,"jatamansi, mint, fenugreek, ginger"
stress,"cinnamon, rock salt, punarnava, brahmi"
snoring,"amla, arjuna bark"
mental fog,"fenugreek, fennel, turmeric"
hiccups,"turmeric, arjuna bark, neem, amla"
shingles,"fenugreek, yastimadhu"
acidity,"aloe vera, ginger, fenugreek"
hypopigmentation,"daruharidra, licorice root, guggulu, nutmeg"
constipation,"ghee, cardamom"
spleen pain,"haritaki, aloe vera"
memory loss,"garlic, sandalwood oil, bhringraj, castor oil"
delayed periods,"fennel, pippali, turmeric"
enlarged liver,"gokshura, guggulu, daruharidra"
mouth ulcers,"jatamansi, brahmi"
morning sickness,"fennel, cinnamon"
palpitations,"aloe vera, til oil"
measles,"ghee, shankhpushpi"
hernia,"triphala, punarnava, kulthi, black pepper"
low libido,"kesar, gotu kola, coriander"
hypopigmentation,"lemongrass, buttermilk, shankhpushpi"
sleep apnea,"manjistha, fenugreek, mint, arjuna bark"
enlarged liver,"lemongrass, vidarikanda"
depression,"castor oil, daruharidra, licorice root"
palpitations,"gotu kola, cinnamon, gokshura, ashwagandha"
excessive hunger,"cardamom, ajwain, rock salt"
frequent urination,"daruharidra, onion extract, haritaki, ashwagandha"
obesity,"fenugreek, sandalwood oil"
swollen ankles,"buttermilk, black pepper, lemongrass, triphala"
hair greying,"ginger, jatamansi, bhumi amla"
tinnitus,"bhumi amla, jatamansi, kulthi, til oil"
chickenpox,"cinnamon, ginger, kulthi, rock salt"
hair fall,"cinnamon, neem, daruharidra"
fatigue,"arjuna bark, guggulu, ashwagandha"
gum bleeding,"bhumi amla, ghee, cardamom"
laryngitis,"basil, onion extract, clove, bhumi amla"
hearing loss,"tulsi, ghee, jatamansi"
headache,"triphala, coriander, gotu kola"
colitis,"nutmeg, gotu kola"
skin rash,"coriander, vidarikanda, bhumi amla, yastimadhu"
bronchitis,"ghee, castor oil"
sweaty palms,"kesar, bhringraj, clove, pippali"
mental fog,"black pepper, basil, brahmi"
frequent urination,"punarnava, mint"
itchy eyes,"vidarikanda, ginger"
heat intolerance,"bhumi amla, til oil"
dry skin,"jeera, ashwagandha, haritaki"
flu,"daruharidra, basil"
menstrual cramps,"fenugreek, haritaki"
nausea,"black pepper, buttermilk, daruharidra, jatamansi"
lack of focus,"camphor, kesar"
hypopigmentation,"basil, coriander, manjistha, mint"
